rk,player,squad,status,page_title,description,image_url,file
1,Max Aarons,Bournemouth,ok,Max Aarons,English footballer (born 2000),https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Max_Aarons_2021-08-07_1.jpg/500px-Max_Aarons_2021-08-07_1.jpg,
2,Joshua Acheampong,Chelsea,no_photo,Josh Acheampong,English footballer (born 2006),,
3,Tyler Adams,Bournemouth,ok,Tyler Adams,American soccer player (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tyler_Adams_09052026_%284%29.jpg/500px-Tyler_Adams_09052026_%284%29.jpg,
4,Tosin Adarabioyo,Chelsea,ok,Tosin Adarabioyo,English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/2/2d/Tosin_Adarabioyo_FIFA_Club_World_Cup_extraction.jpg,
5,Simon Adingra,Brighton,ok,Simon Adingra,Ivorian footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Simon_Adingra_Cote_D%27Ivoire_v_Ecuador_14_June_2026-60.jpg/500px-Simon_Adingra_Cote_D%27Ivoire_v_Ecuador_14_June_2026-60.jpg,
6,Emmanuel Agbadou,Wolves,ok,Emmanuel Agbadou,Ivorian footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Emmanuel_Agbadou_Cote_D%27Ivoire_v_Ecuador_14_June_2026-52.jpg/500px-Emmanuel_Agbadou_Cote_D%27Ivoire_v_Ecuador_14_June_2026-52.jpg,
7,Asher Agbinone,Crystal Palace,no_photo,Asher Agbinone,English footballer (born 2005),,
8,Ola Aina,Nott'ham Forest,ok,Ola Aina,Nigerian footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ola_Aina_2016.jpg/500px-Ola_Aina_2016.jpg,
9,Rayan Aït-Nouri,Wolves,ok,Rayan Aït-Nouri,Footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Rayan_A%C3%AFt-Nouri_playing_for_Algeria_in_2024.jpg/500px-Rayan_A%C3%AFt-Nouri_playing_for_Algeria_in_2024.jpg,
10,Kristoffer Ajer,Brentford,ok,Kristoffer Ajer,Norwegian footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Kristoffer_Ajer_Morocco_v_Norway_7_June_2026-7.jpg/500px-Kristoffer_Ajer_Morocco_v_Norway_7_June_2026-7.jpg,
11,Manuel Akanji,Manchester City,ok,Manuel Akanji,Swiss footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2792_%28Manuel_Akanji%29.jpg/500px-2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2792_%28Manuel_Akanji%29.jpg,
12,Nathan Aké,Manchester City,ok,Nathan Aké,Dutch footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Yokohama_F._Marinos_-_Manchester_City_%283-5%29_-_53075276224_%28Nathan_Ake%29.jpg/500px-Yokohama_F._Marinos_-_Manchester_City_%283-5%29_-_53075276224_%28Nathan_Ake%29.jpg,
13,Carlos Alcaraz,Southampton,ok,Charly Alcaraz,Argentine footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/f/f9/Charly_Alcaraz_%28cropped%29.jpg,
14,Carlos Alcaraz,Everton,ok,Charly Alcaraz,Argentine footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/f/f9/Charly_Alcaraz_%28cropped%29.jpg,
15,Trent Alexander-Arnold,Liverpool,ok,Trent Alexander-Arnold,English footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/5/5d/Trent_Alexander-Arnold_2018_%28cropped%29.jpg,
16,Alisson,Liverpool,ok,Alisson Becker,Brazilian footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Alisson_Becker_Brazil_V_Morocco_13_June_2026-117_%28cropped%29.jpg/500px-Alisson_Becker_Brazil_V_Morocco_13_June_2026-117_%28cropped%29.jpg,
17,Miguel Almirón,Newcastle Utd,ok,Miguel Almirón,Paraguayan footballer (born 1994),https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Miguel_Almir%C3%B3n_Red_Bull_Atlanta_5.31.25-069_%28cropped%29.jpg/500px-Miguel_Almir%C3%B3n_Red_Bull_Atlanta_5.31.25-069_%28cropped%29.jpg,
18,Olabade Aluko,Leicester City,no_photo,Olabade Aluko,English footballer (born 2006),,
19,Edson Álvarez,West Ham,ok,Edson Álvarez,Mexican footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Edson_%C3%81lvarez.png/500px-Edson_%C3%81lvarez.png,
20,Will Alves,Leicester City,ok,Will Alves,English footballer (born 2005),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Will_Alves_23082025_%284%29.jpg/500px-Will_Alves_23082025_%284%29.jpg,
21,Harry Amass,Manchester Utd,ok,Harry Amass,English footballer (born 2007),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Harry_Amass_18102025_%284%29_%28cropped%29.jpg/500px-Harry_Amass_18102025_%284%29_%28cropped%29.jpg,
22,Samuel Amo-Ameyaw,Southampton,no_photo,Sam Amo-Ameyaw,English footballer (born 2006),,
23,Mathis Amougou,Chelsea,ok,Mathis Amougou,French footballer (born 2006),https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mathis_Amougou_asse_losc_2425.jpg/500px-Mathis_Amougou_asse_losc_2425.jpg,
24,Joachim Andersen,Crystal Palace,ok,Joachim Andersen (footballer),Danish footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Joachim_Andersen_22122024_%281%29.jpg/500px-Joachim_Andersen_22122024_%281%29.jpg,
25,Joachim Andersen,Fulham,ok,Joachim Andersen (footballer),Danish footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Joachim_Andersen_22122024_%281%29.jpg/500px-Joachim_Andersen_22122024_%281%29.jpg,
26,Elliot Anderson,Nott'ham Forest,no_photo,Elliot Anderson (footballer),English footballer (born 2002),,
27,André,Wolves,ok,"André (footballer, born 2001)",Brazilian footballer,https://upload.wikimedia.org/wikipedia/commons/2/2f/Andre_Fluminense_vs_Vila_Nova_2022.png,
