rk,player,squad,nation,pos,primary_pos,age,ninetys,tag
1,Max Aarons,Bournemouth,ENG,DF,DF,24,1.0,zagueiro_construtor
2,Joshua Acheampong,Chelsea,ENG,DF,DF,18,1.9,zagueiro_construtor
3,Tyler Adams,Bournemouth,USA,MF,MF,25,21.8,box_to_box
4,Tosin Adarabioyo,Chelsea,ENG,DF,DF,26,15.7,zagueiro_construtor
5,Simon Adingra,Brighton,CIV,"FW,MF",FW,22,12.2,centroavante_goleador
6,Emmanuel Agbadou,Wolves,CIV,DF,DF,27,15.7,zagueiro_construtor
7,Asher Agbinone,Crystal Palace,ENG,MF,MF,18,0.1,box_to_box
8,Ola Aina,Nott'ham Forest,NGA,DF,DF,27,33.3,zagueiro_construtor
9,Rayan Aït-Nouri,Wolves,ALG,DF,DF,23,34.5,zagueiro_construtor
10,Kristoffer Ajer,Brentford,NOR,DF,DF,26,16.0,zagueiro_construtor
11,Manuel Akanji,Manchester City,SUI,DF,DF,29,22.4,zagueiro_construtor
12,Nathan Aké,Manchester City,NED,DF,DF,29,7.5,zagueiro_construtor
13,Carlos Alcaraz,Southampton,ARG,MF,MF,21,0.1,meia_criativo
14,Carlos Alcaraz,Everton,ARG,"FW,MF",FW,21,8.5,centroavante_goleador
15,Trent Alexander-Arnold,Liverpool,ENG,DF,DF,25,26.3,zagueiro_construtor
16,Alisson,Liverpool,BRA,GK,GK,31,27.9,goleiro_titular
17,Miguel Almirón,Newcastle Utd,PAR,FW,FW,30,1.7,centroavante_goleador
18,Olabade Aluko,Leicester City,ENG,DF,DF,18,0.0,zagueiro_construtor
19,Edson Álvarez,West Ham,MEX,MF,MF,26,19.7,box_to_box
20,Will Alves,Leicester City,ENG,FW,FW,19,0.0,centroavante_goleador
21,Harry Amass,Manchester Utd,ENG,DF,DF,17,3.8,zagueiro_construtor
22,Samuel Amo-Ameyaw,Southampton,ENG,"FW,DF",FW,18,0.3,centroavante_goleador
23,Mathis Amougou,Chelsea,FRA,MF,MF,18,0.1,box_to_box
24,Joachim Andersen,Crystal Palace,DEN,DF,DF,28,1.0,zagueiro_construtor
25,Joachim Andersen,Fulham,DEN,DF,DF,28,28.7,zagueiro_construtor
26,Elliot Anderson,Nott'ham Forest,ENG,MF,MF,21,30.3,box_to_box
27,André,Wolves,BRA,MF,MF,23,27.5,meia_criativo
28,Michail Antonio,West Ham,JAM,FW,FW,34,9.3,centroavante_goleador
29,Antony,Manchester Utd,BRA,"DF,MF",DF,24,1.6,zagueiro_construtor
30,Julian Araujo,Bournemouth,MEX,DF,DF,22,5.5,zagueiro_construtor
31,Cameron Archer,Southampton,ENG,FW,FW,23,16.0,centroavante_goleador
32,Alphonse Areola,West Ham,FRA,GK,GK,31,25.1,goleiro_titular
33,Joe Aribo,Southampton,NGA,"MF,DF",MF,28,22.4,box_to_box
34,Adam Armstrong,Southampton,ENG,"FW,MF",FW,27,13.9,centroavante_goleador
35,Harrison Armstrong,Everton,ENG,MF,MF,17,0.5,box_to_box
36,Kepa Arrizabalaga,Bournemouth,ESP,GK,GK,29,31.0,goleiro_titular
37,Marco Asensio,Aston Villa,ESP,MF,MF,28,8.3,meia_criativo
38,Brandon Austin,Tottenham,ENG,GK,GK,25,1.0,goleiro_titular
39,Taiwo Awoniyi,Nott'ham Forest,NGA,FW,FW,26,4.6,centroavante_goleador
40,Yasin Ayari,Brighton,SWE,MF,MF,20,21.8,box_to_box
41,Jordan Ayew,Crystal Palace,GHA,"FW,MF",FW,32,0.2,centroavante_goleador
42,Jordan Ayew,Leicester City,GHA,"FW,MF",FW,32,18.2,centroavante_goleador
43,Benoît Badiashile,Chelsea,FRA,DF,DF,23,3.7,zagueiro_construtor
44,Leon Bailey,Aston Villa,JAM,"FW,MF",FW,26,12.7,centroavante_goleador
45,Carlos Baleba,Brighton,CMR,MF,MF,20,29.6,box_to_box
46,Ross Barkley,Aston Villa,ENG,MF,MF,30,6.5,box_to_box
47,Harvey Barnes,Newcastle Utd,ENG,FW,FW,26,19.5,centroavante_goleador
48,Calvin Bassey,Fulham,NGA,DF,DF,24,34.2,zagueiro_construtor
49,Altay Bayındır,Manchester Utd,TUR,GK,GK,26,4.0,goleiro_titular
50,Jan Bednarek,Southampton,POL,DF,DF,28,28.1,zagueiro_construtor
51,Armel Bella Kotchap,Southampton,GER,DF,DF,22,3.7,zagueiro_construtor
52,Jean-Ricner Bellegarde,Wolves,FRA,"MF,FW",MF,26,18.6,meia_criativo
53,Rodrigo Bentancur,Tottenham,URU,MF,MF,27,18.3,box_to_box
54,Daniel Bentley,Wolves,ENG,GK,GK,31,2.0,goleiro_titular
55,Sander Berge,Fulham,NOR,MF,MF,26,24.7,meia_criativo
56,Lucas Bergvall,Tottenham,SWE,MF,MF,18,13.5,box_to_box
57,Victor Bernth Kristiansen,Leicester City,DEN,DF,DF,21,27.6,zagueiro_construtor
58,Beto,Everton,GNB,FW,FW,26,17.0,centroavante_goleador
59,Philip Billing,Bournemouth,DEN,MF,MF,28,2.0,meia_criativo
60,Yves Bissouma,Tottenham,MLI,MF,MF,27,15.6,box_to_box
61,Oscar Bobb,Manchester City,NOR,FW,FW,21,0.2,centroavante_goleador
62,Lamare Bogarde,Aston Villa,NED,"DF,MF",DF,20,5.3,zagueiro_construtor
63,Willy Boly,Nott'ham Forest,CIV,DF,DF,33,1.7,zagueiro_construtor
64,Sven Botman,Newcastle Utd,NED,DF,DF,24,4.6,zagueiro_construtor
65,Jarrod Bowen,West Ham,ENG,"FW,MF",FW,27,33.0,centroavante_goleador
66,Conor Bradley,Liverpool,NIR,DF,DF,21,8.4,zagueiro_construtor
67,Jarrad Branthwaite,Everton,ENG,DF,DF,22,27.9,zagueiro_construtor
68,James Bree,Southampton,ENG,DF,DF,26,11.9,zagueiro_construtor
69,Ben Brereton,Southampton,CHI,FW,FW,25,5.0,centroavante_goleador
70,Nathan Broadhead,Ipswich Town,WAL,"MF,FW",MF,26,7.8,box_to_box
71,Armando Broja,Everton,ALB,FW,FW,22,3.7,centroavante_goleador
72,David Brooks,Bournemouth,WAL,"FW,MF",FW,27,10.7,centroavante_goleador
73,Emi Buendía,Aston Villa,ARG,"MF,FW",MF,27,1.1,box_to_box
74,Santiago Bueno,Wolves,URU,DF,DF,25,18.7,zagueiro_construtor
75,Facundo Buonanotte,Leicester City,ARG,"FW,MF",FW,19,16.9,centroavante_goleador
76,Cameron Burgess,Ipswich Town,AUS,DF,DF,28,17.1,zagueiro_construtor
77,Dan Burn,Newcastle Utd,ENG,DF,DF,32,37.0,zagueiro_construtor
78,Wes Burns,Ipswich Town,WAL,"FW,DF",FW,29,10.3,centroavante_goleador
79,Nathan Butler-Oyedeji,Arsenal,ENG,FW,FW,21,0.1,centroavante_goleador
80,Moisés Caicedo,Chelsea,ECU,"MF,DF",MF,22,37.2,meia_criativo
81,Tom Cairney,Fulham,SCO,MF,MF,33,7.0,meia_criativo
82,Jens Cajuste,Ipswich Town,SWE,MF,MF,24,21.8,box_to_box
83,Riccardo Calafiori,Arsenal,ITA,DF,DF,22,10.9,zagueiro_construtor
84,Dominic Calvert-Lewin,Everton,ENG,FW,FW,27,17.9,centroavante_goleador
85,Diego Carlos,Aston Villa,BRA,DF,DF,31,9.2,zagueiro_construtor
86,Fabio Carvalho,Brentford,POR,"FW,MF",FW,21,5.1,centroavante_goleador
87,Casemiro,Manchester Utd,BRA,MF,MF,32,16.6,box_to_box
88,Kaelan Casey,West Ham,ENG,DF,DF,19,0.0,zagueiro_classico
89,Matty Cash,Aston Villa,POL,DF,DF,26,23.0,zagueiro_construtor
90,Eiran Cashin,Brighton,IRL,DF,DF,22,0.2,zagueiro_construtor
91,Timothy Castagne,Fulham,BEL,DF,DF,28,18.3,zagueiro_construtor
92,Trevoh Chalobah,Crystal Palace,ENG,DF,DF,25,11.8,zagueiro_construtor
93,Trevoh Chalobah,Chelsea,ENG,DF,DF,25,10.1,zagueiro_construtor
94,Conor Chaplin,Ipswich Town,ENG,"MF,FW",MF,27,9.5,box_to_box
