rk,player,squad,nation,pos,primary_pos,age,ninetys,tag
1,Max Aarons,Bournemouth,ENG,DF,DF,24,1.0,zagueiro_classico
2,Joshua Acheampong,Chelsea,ENG,DF,DF,18,1.9,zagueiro_classico
3,Tyler Adams,Bournemouth,USA,MF,MF,25,21.8,volante_defensivo
4,Tosin Adarabioyo,Chelsea,ENG,DF,DF,26,15.7,zagueiro_classico
5,Simon Adingra,Brighton,CIV,"FW,MF",FW,22,12.2,ponta_dribllador
6,Emmanuel Agbadou,Wolves,CIV,DF,DF,27,15.7,zagueiro_classico
7,Asher Agbinone,Crystal Palace,ENG,MF,MF,18,0.1,meia_criativo
8,Ola Aina,Nott'ham Forest,NGA,DF,DF,27,33.3,zagueiro_construtor
9,Rayan Aït-Nouri,Wolves,ALG,DF,DF,23,34.5,lateral_ofensivo
10,Kristoffer Ajer,Brentford,NOR,DF,DF,26,16.0,zagueiro_construtor
11,Manuel Akanji,Manchester City,SUI,DF,DF,29,22.4,zagueiro_construtor
12,Nathan Aké,Manchester City,NED,DF,DF,29,7.5,zagueiro_construtor
13,Carlos Alcaraz,Southampton,ARG,MF,MF,21,0.1,meia_criativo
14,Carlos Alcaraz,Everton,ARG,"FW,MF",FW,21,8.5,segundo_atacante
15,Trent Alexander-Arnold,Liverpool,ENG,DF,DF,25,26.3,lateral_ofensivo
16,Alisson,Liverpool,BRA,GK,GK,31,27.9,goleiro_titular
17,Miguel Almirón,Newcastle Utd,PAR,FW,FW,30,1.7,segundo_atacante
18,Olabade Aluko,Leicester City,ENG,DF,DF,18,0.0,zagueiro_classico
19,Edson Álvarez,West Ham,MEX,MF,MF,26,19.7,volante_defensivo
20,Will Alves,Leicester City,ENG,FW,FW,19,0.0,centroavante_goleador
21,Harry Amass,Manchester Utd,ENG,DF,DF,17,3.8,zagueiro_classico
22,Samuel Amo-Ameyaw,Southampton,ENG,"FW,DF",FW,18,0.3,segundo_atacante
23,Mathis Amougou,Chelsea,FRA,MF,MF,18,0.1,volante_defensivo
24,Joachim Andersen,Crystal Palace,DEN,DF,DF,28,1.0,zagueiro_classico
25,Joachim Andersen,Fulham,DEN,DF,DF,28,28.7,zagueiro_construtor
26,Elliot Anderson,Nott'ham Forest,ENG,MF,MF,21,30.3,volante_defensivo
27,André,Wolves,BRA,MF,MF,23,27.5,volante_defensivo
28,Michail Antonio,West Ham,JAM,FW,FW,34,9.3,ponta_dribllador
29,Antony,Manchester Utd,BRA,"DF,MF",DF,24,1.6,zagueiro_classico
30,Julian Araujo,Bournemouth,MEX,DF,DF,22,5.5,zagueiro_classico
31,Cameron Archer,Southampton,ENG,FW,FW,23,16.0,ponta_dribllador
32,Alphonse Areola,West Ham,FRA,GK,GK,31,25.1,goleiro_titular
33,Joe Aribo,Southampton,NGA,"MF,DF",MF,28,22.4,box_to_box
34,Adam Armstrong,Southampton,ENG,"FW,MF",FW,27,13.9,ponta_dribllador
35,Harrison Armstrong,Everton,ENG,MF,MF,17,0.5,meia_criativo
36,Kepa Arrizabalaga,Bournemouth,ESP,GK,GK,29,31.0,goleiro_titular
37,Marco Asensio,Aston Villa,ESP,MF,MF,28,8.3,box_to_box
38,Brandon Austin,Tottenham,ENG,GK,GK,25,1.0,goleiro_reserva
39,Taiwo Awoniyi,Nott'ham Forest,NGA,FW,FW,26,4.6,centroavante_goleador
40,Yasin Ayari,Brighton,SWE,MF,MF,20,21.8,volante_defensivo
41,Jordan Ayew,Crystal Palace,GHA,"FW,MF",FW,32,0.2,centroavante_goleador
42,Jordan Ayew,Leicester City,GHA,"FW,MF",FW,32,18.2,ponta_dribllador
43,Benoît Badiashile,Chelsea,FRA,DF,DF,23,3.7,zagueiro_classico
44,Leon Bailey,Aston Villa,JAM,"FW,MF",FW,26,12.7,ponta_dribllador
45,Carlos Baleba,Brighton,CMR,MF,MF,20,29.6,volante_defensivo
46,Ross Barkley,Aston Villa,ENG,MF,MF,30,6.5,box_to_box
47,Harvey Barnes,Newcastle Utd,ENG,FW,FW,26,19.5,ponta_dribllador
48,Calvin Bassey,Fulham,NGA,DF,DF,24,34.2,zagueiro_construtor
49,Altay Bayındır,Manchester Utd,TUR,GK,GK,26,4.0,goleiro_reserva
50,Jan Bednarek,Southampton,POL,DF,DF,28,28.1,zagueiro_classico
51,Armel Bella Kotchap,Southampton,GER,DF,DF,22,3.7,zagueiro_classico
52,Jean-Ricner Bellegarde,Wolves,FRA,"MF,FW",MF,26,18.6,box_to_box
53,Rodrigo Bentancur,Tottenham,URU,MF,MF,27,18.3,volante_defensivo
54,Daniel Bentley,Wolves,ENG,GK,GK,31,2.0,goleiro_reserva
55,Sander Berge,Fulham,NOR,MF,MF,26,24.7,volante_defensivo
56,Lucas Bergvall,Tottenham,SWE,MF,MF,18,13.5,volante_defensivo
57,Victor Bernth Kristiansen,Leicester City,DEN,DF,DF,21,27.6,zagueiro_construtor
58,Beto,Everton,GNB,FW,FW,26,17.0,centroavante_goleador
59,Philip Billing,Bournemouth,DEN,MF,MF,28,2.0,meia_criativo
60,Yves Bissouma,Tottenham,MLI,MF,MF,27,15.6,volante_defensivo
61,Oscar Bobb,Manchester City,NOR,FW,FW,21,0.2,segundo_atacante
62,Lamare Bogarde,Aston Villa,NED,"DF,MF",DF,20,5.3,zagueiro_classico
63,Willy Boly,Nott'ham Forest,CIV,DF,DF,33,1.7,zagueiro_classico
64,Sven Botman,Newcastle Utd,NED,DF,DF,24,4.6,zagueiro_classico
65,Jarrod Bowen,West Ham,ENG,"FW,MF",FW,27,33.0,ponta_dribllador
66,Conor Bradley,Liverpool,NIR,DF,DF,21,8.4,lateral_ofensivo
67,Jarrad Branthwaite,Everton,ENG,DF,DF,22,27.9,zagueiro_classico
68,James Bree,Southampton,ENG,DF,DF,26,11.9,lateral_ofensivo
69,Ben Brereton,Southampton,CHI,FW,FW,25,5.0,ponta_dribllador
70,Nathan Broadhead,Ipswich Town,WAL,"MF,FW",MF,26,7.8,box_to_box
71,Armando Broja,Everton,ALB,FW,FW,22,3.7,ponta_dribllador
72,David Brooks,Bournemouth,WAL,"FW,MF",FW,27,10.7,ponta_dribllador
73,Emi Buendía,Aston Villa,ARG,"MF,FW",MF,27,1.1,meia_criativo
74,Santiago Bueno,Wolves,URU,DF,DF,25,18.7,zagueiro_classico
75,Facundo Buonanotte,Leicester City,ARG,"FW,MF",FW,19,16.9,ponta_dribllador
76,Cameron Burgess,Ipswich Town,AUS,DF,DF,28,17.1,zagueiro_classico
77,Dan Burn,Newcastle Utd,ENG,DF,DF,32,37.0,zagueiro_classico
78,Wes Burns,Ipswich Town,WAL,"FW,DF",FW,29,10.3,ponta_dribllador
79,Nathan Butler-Oyedeji,Arsenal,ENG,FW,FW,21,0.1,centroavante_goleador
80,Moisés Caicedo,Chelsea,ECU,"MF,DF",MF,22,37.2,volante_defensivo
81,Tom Cairney,Fulham,SCO,MF,MF,33,7.0,box_to_box
82,Jens Cajuste,Ipswich Town,SWE,MF,MF,24,21.8,volante_defensivo
83,Riccardo Calafiori,Arsenal,ITA,DF,DF,22,10.9,zagueiro_construtor
84,Dominic Calvert-Lewin,Everton,ENG,FW,FW,27,17.9,ponta_dribllador
85,Diego Carlos,Aston Villa,BRA,DF,DF,31,9.2,zagueiro_classico
86,Fabio Carvalho,Brentford,POR,"FW,MF",FW,21,5.1,centroavante_goleador
87,Casemiro,Manchester Utd,BRA,MF,MF,32,16.6,volante_defensivo
88,Kaelan Casey,West Ham,ENG,DF,DF,19,0.0,zagueiro_classico
89,Matty Cash,Aston Villa,POL,DF,DF,26,23.0,lateral_ofensivo
90,Eiran Cashin,Brighton,IRL,DF,DF,22,0.2,zagueiro_classico
91,Timothy Castagne,Fulham,BEL,DF,DF,28,18.3,lateral_ofensivo
92,Trevoh Chalobah,Crystal Palace,ENG,DF,DF,25,11.8,zagueiro_classico
93,Trevoh Chalobah,Chelsea,ENG,DF,DF,25,10.1,zagueiro_classico
94,Conor Chaplin,Ipswich Town,ENG,"MF,FW",MF,27,9.5,meia_criativo
95,Youssef Chermiti,Everton,POR,"FW,MF",FW,20,0.5,centroavante_goleador
96,Federico Chiesa,Liverpool,ITA,FW,FW,26,1.2,segundo_atacante
97,Ben Chilwell,Crystal Palace,ENG,DF,DF,27,2.9,zagueiro_classico
98,Chiquinho,Wolves,POR,MF,MF,24,0.1,meia_criativo
99,Hamza Choudhury,Leicester City,BAN,"MF,DF",MF,26,1.5,meia_criativo
100,Ryan Christie,Bournemouth,SCO,MF,MF,29,23.5,volante_defensivo
101,Harry Clarke,Ipswich Town,ENG,DF,DF,23,4.2,zagueiro_classico
102,Jack Clarke,Ipswich Town,ENG,"FW,MF",FW,23,13.1,ponta_dribllador
103,Nathaniel Clyne,Crystal Palace,ENG,"DF,MF",DF,33,5.4,zagueiro_classico
104,Conor Coady,Leicester City,ENG,DF,DF,31,19.0,zagueiro_classico
105,Séamus Coleman,Everton,IRL,DF,DF,35,2.4,zagueiro_classico
106,Nathan Collins,Brentford,IRL,DF,DF,23,38.0,zagueiro_construtor
107,Toby Collyer,Manchester Utd,ENG,MF,MF,20,2.0,meia_criativo
108,Levi Colwill,Chelsea,ENG,DF,DF,21,35.0,zagueiro_construtor
109,Lewis Cook,Bournemouth,ENG,"MF,DF",MF,27,33.1,volante_defensivo
110,Maxwel Cornet,Southampton,CIV,FW,FW,27,0.8,centroavante_goleador
111,Vladimír Coufal,West Ham,CZE,DF,DF,31,11.9,zagueiro_construtor
112,Woyo Coulibaly,Leicester City,MLI,DF,DF,25,1.2,zagueiro_classico
113,Aaron Cresswell,West Ham,ENG,DF,DF,34,9.2,zagueiro_classico
114,Marc Cucurella,Chelsea,ESP,DF,DF,26,33.2,zagueiro_construtor
115,Jorge Cuenca,Fulham,ESP,DF,DF,24,3.9,zagueiro_classico
116,Matheus Cunha,Wolves,BRA,"MF,FW",MF,25,28.9,box_to_box
117,Patson Daka,Leicester City,ZAM,"FW,MF",FW,25,8.2,centroavante_goleador
118,Diogo Dalot,Manchester Utd,POR,DF,DF,25,31.3,lateral_ofensivo
119,Mikkel Damsgaard,Brentford,DEN,"MF,FW",MF,24,32.3,box_to_box
120,Danilo,Nott'ham Forest,BRA,"MF,FW",MF,23,3.1,volante_defensivo
121,Jayden Danns,Liverpool,ENG,MF,MF,18,0.1,volante_defensivo
122,Kevin Danso,Tottenham,AUT,DF,DF,25,9.4,zagueiro_classico
123,Ben Davies,Tottenham,WAL,DF,DF,31,14.8,zagueiro_classico
124,Leif Davis,Ipswich Town,ENG,DF,DF,24,30.5,lateral_ofensivo
125,Craig Dawson,Wolves,ENG,DF,DF,34,10.8,zagueiro_classico
126,Kevin De Bruyne,Manchester City,BEL,"MF,FW",MF,33,18.9,box_to_box
127,Bobby De Cordova-Reid,Leicester City,JAM,FW,FW,31,8.3,segundo_atacante
128,Liam Delap,Ipswich Town,ENG,FW,FW,21,28.8,ponta_dribllador
129,Sepp van den Berg,Brentford,NED,DF,DF,22,28.7,zagueiro_classico
130,Justin Devenny,Crystal Palace,NIR,MF,MF,20,5.6,meia_criativo
131,Kiernan Dewsbury-Hall,Chelsea,ENG,"MF,FW",MF,25,2.9,meia_criativo
132,Amad Diallo,Manchester Utd,CIV,"MF,FW",MF,22,21.1,box_to_box
133,Rúben Dias,Manchester City,POR,DF,DF,27,25.2,zagueiro_construtor
134,Luis Díaz,Liverpool,COL,FW,FW,27,26.7,ponta_dribllador
135,Tyler Dibling,Southampton,ENG,"FW,MF",FW,18,20.8,ponta_dribllador
136,Lucas Digne,Aston Villa,FRA,DF,DF,31,26.1,lateral_ofensivo
137,Issa Diop,Fulham,FRA,DF,DF,27,14.9,zagueiro_classico
138,Axel Disasi,Aston Villa,FRA,DF,DF,26,5.4,zagueiro_classico
139,Axel Disasi,Chelsea,FRA,DF,DF,26,4.0,zagueiro_classico
140,Roman Dixon,Everton,ENG,DF,DF,19,1.0,zagueiro_classico
141,Nasser Djiga,Wolves,BFA,DF,DF,21,0.7,zagueiro_classico
142,Matt Doherty,Wolves,IRL,DF,DF,32,23.4,zagueiro_construtor
143,Jeremy Doku,Manchester City,BEL,"FW,MF",FW,22,16.8,ponta_dribllador
144,Nicolás Domínguez,Nott'ham Forest,ARG,"MF,FW",MF,26,21.8,volante_defensivo
145,Patrick Dorgu,Manchester Utd,DEN,DF,DF,19,9.4,zagueiro_construtor
