document_id,query_player,relevant_player,rank,top_1_document_id,top_1_player,top_5_document_ids,top_5_players,query_text
rk_1,Max Aarons,Max Aarons,1,rk_1,Max Aarons,rk_1 | rk_1701 | rk_504 | rk_475 | rk_518,Max Aarons | Max Aarons | Charlie Taylor | Jahmai Simpson-Pusey | Conor Townsend,identity: player (Player): Max Aarons | nation (Nation): ENG | position (Pos): defender (DF) | club (Squad): Bournemouth | age (Age): 24 | birth_year (Born): 2000 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 1 | progressive_passes (PrgP): 8 | progressive_receptions (PrgR): 3 || usage_stats: matches_played (MP): 3 | starts (Starts): 1 | minutes_played (Min): 86 | full_match_equivalents (90s): 1.0 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_eng | position_defender | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played | rotation_player
rk_2,Joshua Acheampong,Joshua Acheampong,1,rk_2,Joshua Acheampong,rk_2 | rk_232 | rk_198 | rk_354 | rk_4,Joshua Acheampong | Ayden Heaven | Tyrique George | James Milner | Tosin Adarabioyo,identity: player (Player): Joshua Acheampong | nation (Nation): ENG | position (Pos): defender (DF) | club (Squad): Chelsea | age (Age): 18 | birth_year (Born): 2006 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.2 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.2 | expected_goal_involvements (xG+xAG): 0.12 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 8 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 4 | starts (Starts): 2 | minutes_played (Min): 170 | full_match_equivalents (90s): 1.9 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_eng | position_defender | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played | rotation_player
rk_3,Tyler Adams,Tyler Adams,1,rk_3,Tyler Adams,rk_3 | rk_4950 | rk_5181 | rk_2190 | rk_660,Tyler Adams | Djordje Mihailovic | Quinn Sullivan | Kirian Rodríguez | Gianluca Busio,identity: player (Player): Tyler Adams | nation (Nation): USA | position (Pos): midfielder (MF) | club (Squad): Bournemouth | age (Age): 25 | birth_year (Born): 1999 || attacking_stats: goals (Gls): 0 | assists (Ast): 3 | expected_goals (xG): 1.6 | expected_assists (xAG): 1.0 | non_penalty_expected_goals (npxG): 1.6 | expected_goal_involvements (xG+xAG): 0.12 || progression_stats: progressive_carries (PrgC): 14 | progressive_passes (PrgP): 76 | progressive_receptions (PrgR): 10 || usage_stats: matches_played (MP): 28 | starts (Starts): 21 | minutes_played (Min): 1965 | full_match_equivalents (90s): 21.8 || discipline_stats: yellow_cards (CrdY): 7 | red_cards (CrdR): 0 || tags: nation_usa | position_midfielder | medium_goals | elite_assists | high_expected_goals | medium_expected_assists | medium_progressive_carries | high_progressive_passes | low_progressive_receptions | high_minutes_played | regular_starter
rk_4,Tosin Adarabioyo,Tosin Adarabioyo,1,rk_4,Tosin Adarabioyo,rk_4 | rk_4084 | rk_109 | rk_68 | rk_4033,Tosin Adarabioyo | Christian Burgess | Lewis Cook | James Bree | Ryan Alebiosu,identity: player (Player): Tosin Adarabioyo | nation (Nation): ENG | position (Pos): defender (DF) | club (Squad): Chelsea | age (Age): 26 | birth_year (Born): 1997 || attacking_stats: goals (Gls): 1 | assists (Ast): 1 | expected_goals (xG): 0.9 | expected_assists (xAG): 0.2 | non_penalty_expected_goals (npxG): 0.9 | expected_goal_involvements (xG+xAG): 0.07 || progression_stats: progressive_carries (PrgC): 5 | progressive_passes (PrgP): 42 | progressive_receptions (PrgR): 1 || usage_stats: matches_played (MP): 22 | starts (Starts): 15 | minutes_played (Min): 1409 | full_match_equivalents (90s): 15.7 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_eng | position_defender | high_goals | high_assists | medium_expected_goals | low_expected_assists | low_progressive_carries | medium_progressive_passes | low_progressive_receptions | medium_minutes_played | rotation_player
rk_5,Simon Adingra,Simon Adingra,1,rk_5,Simon Adingra,rk_5 | rk_4315 | rk_4615 | rk_447 | rk_2567,Simon Adingra | Konan N'dri | Osman Bukari | Georginio Rutter | Yassine Kechta,"identity: player (Player): Simon Adingra | nation (Nation): CIV | position (Pos): forward, midfielder (FW,MF) | club (Squad): Brighton | age (Age): 22 | birth_year (Born): 2002 || attacking_stats: goals (Gls): 2 | assists (Ast): 2 | expected_goals (xG): 2.5 | expected_assists (xAG): 2.5 | non_penalty_expected_goals (npxG): 2.5 | expected_goal_involvements (xG+xAG): 0.4 || progression_stats: progressive_carries (PrgC): 50 | progressive_passes (PrgP): 18 | progressive_receptions (PrgR): 136 || usage_stats: matches_played (MP): 29 | starts (Starts): 12 | minutes_played (Min): 1097 | full_match_equivalents (90s): 12.2 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_civ | position_forward | position_midfielder | high_goals | high_assists | high_expected_goals | high_expected_assists | elite_progressive_carries | low_progressive_passes | elite_progressive_receptions | medium_minutes_played | rotation_player"
rk_6,Emmanuel Agbadou,Emmanuel Agbadou,1,rk_6,Emmanuel Agbadou,rk_6 | rk_2313 | rk_3877 | rk_2574 | rk_2355,Emmanuel Agbadou | Emmanuel Agbadou | Francisco Reis Ferreira | Cédric Kipré | Abdoulaye Bamba,identity: player (Player): Emmanuel Agbadou | nation (Nation): CIV | position (Pos): defender (DF) | club (Squad): Wolves | age (Age): 27 | birth_year (Born): 1997 || attacking_stats: goals (Gls): 1 | assists (Ast): 0 | expected_goals (xG): 0.8 | expected_assists (xAG): 0.2 | non_penalty_expected_goals (npxG): 0.8 | expected_goal_involvements (xG+xAG): 0.07 || progression_stats: progressive_carries (PrgC): 6 | progressive_passes (PrgP): 31 | progressive_receptions (PrgR): 2 || usage_stats: matches_played (MP): 16 | starts (Starts): 16 | minutes_played (Min): 1410 | full_match_equivalents (90s): 15.7 || discipline_stats: yellow_cards (CrdY): 3 | red_cards (CrdR): 0 || tags: nation_civ | position_defender | high_goals | medium_assists | medium_expected_goals | low_expected_assists | low_progressive_carries | medium_progressive_passes | low_progressive_receptions | medium_minutes_played | regular_starter
rk_7,Asher Agbinone,Asher Agbinone,1,rk_7,Asher Agbinone,rk_7 | rk_294 | rk_103 | rk_545 | rk_169,Asher Agbinone | Caleb Kporha | Nathaniel Clyne | Joel Ward | Romain Esse,identity: player (Player): Asher Agbinone | nation (Nation): ENG | position (Pos): midfielder (MF) | club (Squad): Crystal Palace | age (Age): 18 | birth_year (Born): 2005 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.79 || progression_stats: progressive_carries (PrgC): 2 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 1 || usage_stats: matches_played (MP): 2 | starts (Starts): 0 | minutes_played (Min): 6 | full_match_equivalents (90s): 0.1 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_eng | position_midfielder | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played
rk_8,Ola Aina,Ola Aina,1,rk_8,Ola Aina,rk_8 | rk_556 | rk_373 | rk_563 | rk_4419,Ola Aina | Neco Williams | Murillo | Yoane Wissa | Yira Sor,identity: player (Player): Ola Aina | nation (Nation): NGA | position (Pos): defender (DF) | club (Squad): Nott'ham Forest | age (Age): 27 | birth_year (Born): 1996 || attacking_stats: goals (Gls): 2 | assists (Ast): 1 | expected_goals (xG): 0.6 | expected_assists (xAG): 1.4 | non_penalty_expected_goals (npxG): 0.6 | expected_goal_involvements (xG+xAG): 0.06 || progression_stats: progressive_carries (PrgC): 67 | progressive_passes (PrgP): 107 | progressive_receptions (PrgR): 67 || usage_stats: matches_played (MP): 35 | starts (Starts): 35 | minutes_played (Min): 2995 | full_match_equivalents (90s): 33.3 || discipline_stats: yellow_cards (CrdY): 5 | red_cards (CrdR): 0 || tags: nation_nga | position_defender | high_goals | high_assists | medium_expected_goals | high_expected_assists | elite_progressive_carries | elite_progressive_passes | high_progressive_receptions | elite_minutes_played | regular_starter
rk_9,Rayan Aït-Nouri,Rayan Aït-Nouri,1,rk_9,Rayan Aït-Nouri,rk_9 | rk_2384 | rk_4487 | rk_2531 | rk_371,Rayan Aït-Nouri | Hicham Boudaoui | Luka Vušković | Florent Hanin | Daniel Muñoz,identity: player (Player): Rayan Aït-Nouri | nation (Nation): ALG | position (Pos): defender (DF) | club (Squad): Wolves | age (Age): 23 | birth_year (Born): 2001 || attacking_stats: goals (Gls): 4 | assists (Ast): 7 | expected_goals (xG): 2.7 | expected_assists (xAG): 5.5 | non_penalty_expected_goals (npxG): 2.7 | expected_goal_involvements (xG+xAG): 0.24 || progression_stats: progressive_carries (PrgC): 89 | progressive_passes (PrgP): 108 | progressive_receptions (PrgR): 176 || usage_stats: matches_played (MP): 37 | starts (Starts): 37 | minutes_played (Min): 3109 | full_match_equivalents (90s): 34.5 || discipline_stats: yellow_cards (CrdY): 7 | red_cards (CrdR): 1 || tags: nation_alg | position_defender | elite_goals | elite_assists | high_expected_goals | elite_expected_assists | elite_progressive_carries | elite_progressive_passes | elite_progressive_receptions | elite_minutes_played | regular_starter
rk_10,Kristoffer Ajer,Kristoffer Ajer,1,rk_10,Kristoffer Ajer,rk_10 | rk_5207 | rk_2562 | rk_5088 | rk_1022,Kristoffer Ajer | Tomas Totland | Warren Kamanzi | Birk Risa | Marcus Pedersen,identity: player (Player): Kristoffer Ajer | nation (Nation): NOR | position (Pos): defender (DF) | club (Squad): Brentford | age (Age): 26 | birth_year (Born): 1998 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 1.0 | expected_assists (xAG): 1.2 | non_penalty_expected_goals (npxG): 1.0 | expected_goal_involvements (xG+xAG): 0.14 || progression_stats: progressive_carries (PrgC): 27 | progressive_passes (PrgP): 56 | progressive_receptions (PrgR): 44 || usage_stats: matches_played (MP): 24 | starts (Starts): 17 | minutes_played (Min): 1438 | full_match_equivalents (90s): 16.0 || discipline_stats: yellow_cards (CrdY): 5 | red_cards (CrdR): 0 || tags: nation_nor | position_defender | medium_goals | medium_assists | medium_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | medium_progressive_receptions | medium_minutes_played | rotation_player
