query_text,Player,Squad,Pos,Nation,Age,MP,Starts,Min,90s,CrdY,CrdR,score,player_profile
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Ederson,Manchester City,GK,BRA,30,26,26,2320,25.8,4,0,7.761947072562372,identity: player (Player): Ederson | nation (Nation): BRA | position (Pos): goalkeeper (GK) | club (Squad): Manchester City | age (Age): 30 | birth_year (Born): 1993 || attacking_stats: goals (Gls): 0 | assists (Ast): 4 | expected_goals (xG): 0.0 | expected_assists (xAG): 1.5 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.06 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 2 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 26 | starts (Starts): 26 | minutes_played (Min): 2320 | full_match_equivalents (90s): 25.8 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_bra | position_goalkeeper | medium_goals | elite_assists | low_expected_goals | high_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Mark Flekken,Brentford,GK,NED,31,37,37,3275,36.4,1,0,7.228866243190795,identity: player (Player): Mark Flekken | nation (Nation): NED | position (Pos): goalkeeper (GK) | club (Squad): Brentford | age (Age): 31 | birth_year (Born): 1993 || attacking_stats: goals (Gls): 0 | assists (Ast): 2 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.5 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.01 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 37 | starts (Starts): 37 | minutes_played (Min): 3275 | full_match_equivalents (90s): 36.4 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_ned | position_goalkeeper | medium_goals | high_assists | low_expected_goals | medium_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Bernd Leno,Fulham,GK,GER,32,38,38,3420,38.0,5,0,7.228866243190795,identity: player (Player): Bernd Leno | nation (Nation): GER | position (Pos): goalkeeper (GK) | club (Squad): Fulham | age (Age): 32 | birth_year (Born): 1992 || attacking_stats: goals (Gls): 0 | assists (Ast): 1 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.1 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 38 | starts (Starts): 38 | minutes_played (Min): 3420 | full_match_equivalents (90s): 38.0 || discipline_stats: yellow_cards (CrdY): 5 | red_cards (CrdR): 0 || tags: nation_ger | position_goalkeeper | medium_goals | high_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Jordan Pickford,Everton,GK,ENG,30,38,38,3420,38.0,7,0,7.228866243190795,identity: player (Player): Jordan Pickford | nation (Nation): ENG | position (Pos): goalkeeper (GK) | club (Squad): Everton | age (Age): 30 | birth_year (Born): 1994 || attacking_stats: goals (Gls): 0 | assists (Ast): 1 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.4 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.01 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 38 | starts (Starts): 38 | minutes_played (Min): 3420 | full_match_equivalents (90s): 38.0 || discipline_stats: yellow_cards (CrdY): 7 | red_cards (CrdR): 0 || tags: nation_eng | position_goalkeeper | medium_goals | high_assists | low_expected_goals | medium_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Bart Verbruggen,Brighton,GK,NED,21,36,36,3240,36.0,5,0,7.228866243190795,identity: player (Player): Bart Verbruggen | nation (Nation): NED | position (Pos): goalkeeper (GK) | club (Squad): Brighton | age (Age): 21 | birth_year (Born): 2002 || attacking_stats: goals (Gls): 0 | assists (Ast): 1 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 2 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 36 | starts (Starts): 36 | minutes_played (Min): 3240 | full_match_equivalents (90s): 36.0 || discipline_stats: yellow_cards (CrdY): 5 | red_cards (CrdR): 0 || tags: nation_ned | position_goalkeeper | medium_goals | high_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Guillaume Restes,Toulouse,GK,FRA,19,29,29,2543,28.3,2,0,7.228866243190795,identity: player (Player): Guillaume Restes | nation (Nation): FRA | position (Pos): goalkeeper (GK) | club (Squad): Toulouse | age (Age): 19 | birth_year (Born): 2005 || attacking_stats: goals (Gls): 0 | assists (Ast): 1 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.1 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 29 | starts (Starts): 29 | minutes_played (Min): 2543 | full_match_equivalents (90s): 28.3 || discipline_stats: yellow_cards (CrdY): 2 | red_cards (CrdR): 0 || tags: nation_fra | position_goalkeeper | medium_goals | high_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,David de Gea,Fiorentina,GK,ESP,33,34,34,3060,34.0,1,0,7.206108725857943,identity: player (Player): David de Gea | nation (Nation): ESP | position (Pos): goalkeeper (GK) | club (Squad): Fiorentina | age (Age): 33 | birth_year (Born): 1990 || attacking_stats: goals (Gls): 0 | assists (Ast): 1 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.4 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.01 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 34 | starts (Starts): 34 | minutes_played (Min): 3060 | full_match_equivalents (90s): 34.0 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_esp | position_goalkeeper | medium_goals | high_assists | low_expected_goals | medium_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Alexander Nübel,Stuttgart,GK,GER,27,34,34,3060,34.0,0,0,7.206108725857943,identity: player (Player): Alexander Nübel | nation (Nation): GER | position (Pos): goalkeeper (GK) | club (Squad): Stuttgart | age (Age): 27 | birth_year (Born): 1996 || attacking_stats: goals (Gls): 0 | assists (Ast): 1 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.3 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.01 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 34 | starts (Starts): 34 | minutes_played (Min): 3060 | full_match_equivalents (90s): 34.0 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_ger | position_goalkeeper | medium_goals | high_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Donovan Léon,Auxerre,GK,GUF,31,32,32,2880,32.0,4,0,7.206108725857943,identity: player (Player): Donovan Léon | nation (Nation): GUF | position (Pos): goalkeeper (GK) | club (Squad): Auxerre | age (Age): 31 | birth_year (Born): 1992 || attacking_stats: goals (Gls): 0 | assists (Ast): 2 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.4 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.01 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 1 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 32 | starts (Starts): 32 | minutes_played (Min): 2880 | full_match_equivalents (90s): 32.0 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_guf | position_goalkeeper | medium_goals | high_assists | low_expected_goals | medium_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Alisson,Liverpool,GK,BRA,31,28,28,2508,27.9,0,0,6.716838857002398,identity: player (Player): Alisson | nation (Nation): BRA | position (Pos): goalkeeper (GK) | club (Squad): Liverpool | age (Age): 31 | birth_year (Born): 1992 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.6 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.02 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 1 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 28 | starts (Starts): 28 | minutes_played (Min): 2508 | full_match_equivalents (90s): 27.9 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_bra | position_goalkeeper | medium_goals | medium_assists | low_expected_goals | medium_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
position_goalkeeper regular_starter elite_minutes_played high_minutes_played matches_played starts minutes_played,Kewin,Moreirense,GK,BRA,28,29,29,2610,29.0,4,0,6.716838857002398,identity: player (Player): Kewin | nation (Nation): BRA | position (Pos): goalkeeper (GK) | club (Squad): Moreirense | age (Age): 28 | birth_year (Born): 1995 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 29 | starts (Starts): 29 | minutes_played (Min): 2610 | full_match_equivalents (90s): 29.0 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_bra | position_goalkeeper | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | elite_minutes_played | regular_starter
