query_text,Player,Squad,Pos,Nation,Age,Gls,Ast,xG,xAG,PrgC,PrgP,score,player_profile
creative left winger with high goals assists and progressive carries,Alexandre Sola,Estrela,MF,AND,20,0,0,0.0,0.0,0,0,12.004446975408968,identity: player (Player): Alexandre Sola | nation (Nation): AND | position (Pos): midfielder (MF) | club (Squad): Estrela | age (Age): 20 | birth_year (Born): 2003 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 0 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 1 | starts (Starts): 0 | minutes_played (Min): 21 | full_match_equivalents (90s): 0.2 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_and | position_midfielder | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played
creative left winger with high goals assists and progressive carries,Yasin Ayari,Brighton,MF,SWE,20,2,1,2.4,2.3,30,75,1.117422169176673,identity: player (Player): Yasin Ayari | nation (Nation): SWE | position (Pos): midfielder (MF) | club (Squad): Brighton | age (Age): 20 | birth_year (Born): 2003 || attacking_stats: goals (Gls): 2 | assists (Ast): 1 | expected_goals (xG): 2.4 | expected_assists (xAG): 2.3 | non_penalty_expected_goals (npxG): 2.4 | expected_goal_involvements (xG+xAG): 0.22 || progression_stats: progressive_carries (PrgC): 30 | progressive_passes (PrgP): 75 | progressive_receptions (PrgR): 61 || usage_stats: matches_played (MP): 34 | starts (Starts): 22 | minutes_played (Min): 1965 | full_match_equivalents (90s): 21.8 || discipline_stats: yellow_cards (CrdY): 3 | red_cards (CrdR): 0 || tags: nation_swe | position_midfielder | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | rotation_player
creative left winger with high goals assists and progressive carries,Carlos Augusto,Inter,DF,BRA,25,3,2,2.8,1.6,31,80,1.117422169176673,identity: player (Player): Carlos Augusto | nation (Nation): BRA | position (Pos): defender (DF) | club (Squad): Inter | age (Age): 25 | birth_year (Born): 1999 || attacking_stats: goals (Gls): 3 | assists (Ast): 2 | expected_goals (xG): 2.8 | expected_assists (xAG): 1.6 | non_penalty_expected_goals (npxG): 2.8 | expected_goal_involvements (xG+xAG): 0.23 || progression_stats: progressive_carries (PrgC): 31 | progressive_passes (PrgP): 80 | progressive_receptions (PrgR): 83 || usage_stats: matches_played (MP): 28 | starts (Starts): 15 | minutes_played (Min): 1625 | full_match_equivalents (90s): 18.1 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_bra | position_defender | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | rotation_player
creative left winger with high goals assists and progressive carries,Jurgen Ekkelenkamp,Udinese,MF,NED,24,3,2,2.8,1.3,34,72,1.117422169176673,identity: player (Player): Jurgen Ekkelenkamp | nation (Nation): NED | position (Pos): midfielder (MF) | club (Squad): Udinese | age (Age): 24 | birth_year (Born): 2000 || attacking_stats: goals (Gls): 3 | assists (Ast): 2 | expected_goals (xG): 2.8 | expected_assists (xAG): 1.3 | non_penalty_expected_goals (npxG): 2.8 | expected_goal_involvements (xG+xAG): 0.19 || progression_stats: progressive_carries (PrgC): 34 | progressive_passes (PrgP): 72 | progressive_receptions (PrgR): 86 || usage_stats: matches_played (MP): 34 | starts (Starts): 20 | minutes_played (Min): 1892 | full_match_equivalents (90s): 21.0 || discipline_stats: yellow_cards (CrdY): 2 | red_cards (CrdR): 0 || tags: nation_ned | position_midfielder | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | rotation_player
creative left winger with high goals assists and progressive carries,Tiago Esgaio,Arouca,DF,POR,28,2,1,1.7,1.8,27,91,1.117422169176673,identity: player (Player): Tiago Esgaio | nation (Nation): POR | position (Pos): defender (DF) | club (Squad): Arouca | age (Age): 28 | birth_year (Born): 1995 || attacking_stats: goals (Gls): 2 | assists (Ast): 1 | expected_goals (xG): 1.7 | expected_assists (xAG): 1.8 | non_penalty_expected_goals (npxG): 1.7 | expected_goal_involvements (xG+xAG): 0.14 || progression_stats: progressive_carries (PrgC): 27 | progressive_passes (PrgP): 91 | progressive_receptions (PrgR): 78 || usage_stats: matches_played (MP): 25 | starts (Starts): 25 | minutes_played (Min): 2180 | full_match_equivalents (90s): 24.2 || discipline_stats: yellow_cards (CrdY): 2 | red_cards (CrdR): 0 || tags: nation_por | position_defender | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | regular_starter
creative left winger with high goals assists and progressive carries,Brais Méndez,Real Sociedad,MF,ESP,27,3,2,3.5,2.0,32,91,1.1152470387879345,identity: player (Player): Brais Méndez | nation (Nation): ESP | position (Pos): midfielder (MF) | club (Squad): Real Sociedad | age (Age): 27 | birth_year (Born): 1997 || attacking_stats: goals (Gls): 3 | assists (Ast): 2 | expected_goals (xG): 3.5 | expected_assists (xAG): 2.0 | non_penalty_expected_goals (npxG): 3.5 | expected_goal_involvements (xG+xAG): 0.33 || progression_stats: progressive_carries (PrgC): 32 | progressive_passes (PrgP): 91 | progressive_receptions (PrgR): 86 || usage_stats: matches_played (MP): 27 | starts (Starts): 19 | minutes_played (Min): 1531 | full_match_equivalents (90s): 17.0 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_esp | position_midfielder | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | rotation_player
creative left winger with high goals assists and progressive carries,Luka Sučić,Real Sociedad,MF,CRO,21,1,1,3.3,2.6,30,79,1.1152470387879345,identity: player (Player): Luka Sučić | nation (Nation): CRO | position (Pos): midfielder (MF) | club (Squad): Real Sociedad | age (Age): 21 | birth_year (Born): 2002 || attacking_stats: goals (Gls): 1 | assists (Ast): 1 | expected_goals (xG): 3.3 | expected_assists (xAG): 2.6 | non_penalty_expected_goals (npxG): 3.3 | expected_goal_involvements (xG+xAG): 0.3 || progression_stats: progressive_carries (PrgC): 30 | progressive_passes (PrgP): 79 | progressive_receptions (PrgR): 56 || usage_stats: matches_played (MP): 29 | starts (Starts): 21 | minutes_played (Min): 1792 | full_match_equivalents (90s): 19.9 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_cro | position_midfielder | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | rotation_player
creative left winger with high goals assists and progressive carries,Ewan Henderson,Beerschot,"MF,FW",SCO,24,2,1,2.6,2.0,35,81,1.1130803634815052,"identity: player (Player): Ewan Henderson | nation (Nation): SCO | position (Pos): midfielder, forward (MF,FW) | club (Squad): Beerschot | age (Age): 24 | birth_year (Born): 2000 || attacking_stats: goals (Gls): 2 | assists (Ast): 1 | expected_goals (xG): 2.6 | expected_assists (xAG): 2.0 | non_penalty_expected_goals (npxG): 1.8 | expected_goal_involvements (xG+xAG): 0.26 || progression_stats: progressive_carries (PrgC): 35 | progressive_passes (PrgP): 81 | progressive_receptions (PrgR): 80 || usage_stats: matches_played (MP): 25 | starts (Starts): 20 | minutes_played (Min): 1695 | full_match_equivalents (90s): 18.8 || discipline_stats: yellow_cards (CrdY): 3 | red_cards (CrdR): 1 || tags: nation_sco | position_midfielder | position_forward | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | regular_starter"
creative left winger with high goals assists and progressive carries,Manolis Saliakas,St. Pauli,"MF,DF",GRE,27,2,1,1.5,2.6,28,93,1.1120001810778026,"identity: player (Player): Manolis Saliakas | nation (Nation): GRE | position (Pos): midfielder, defender (MF,DF) | club (Squad): St. Pauli | age (Age): 27 | birth_year (Born): 1996 || attacking_stats: goals (Gls): 2 | assists (Ast): 1 | expected_goals (xG): 1.5 | expected_assists (xAG): 2.6 | non_penalty_expected_goals (npxG): 1.5 | expected_goal_involvements (xG+xAG): 0.16 || progression_stats: progressive_carries (PrgC): 28 | progressive_passes (PrgP): 93 | progressive_receptions (PrgR): 80 || usage_stats: matches_played (MP): 30 | starts (Starts): 26 | minutes_played (Min): 2314 | full_match_equivalents (90s): 25.7 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_gre | position_midfielder | position_defender | high_goals | high_assists | high_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | regular_starter"
creative left winger with high goals assists and progressive carries,Lorenzo Pellegrini,Roma,MF,ITA,28,2,1,4.7,2.5,27,61,1.0929965136347541,identity: player (Player): Lorenzo Pellegrini | nation (Nation): ITA | position (Pos): midfielder (MF) | club (Squad): Roma | age (Age): 28 | birth_year (Born): 1996 || attacking_stats: goals (Gls): 2 | assists (Ast): 1 | expected_goals (xG): 4.7 | expected_assists (xAG): 2.5 | non_penalty_expected_goals (npxG): 3.9 | expected_goal_involvements (xG+xAG): 0.4 || progression_stats: progressive_carries (PrgC): 27 | progressive_passes (PrgP): 61 | progressive_receptions (PrgR): 82 || usage_stats: matches_played (MP): 25 | starts (Starts): 20 | minutes_played (Min): 1626 | full_match_equivalents (90s): 18.1 || discipline_stats: yellow_cards (CrdY): 4 | red_cards (CrdR): 0 || tags: nation_ita | position_midfielder | high_goals | high_assists | elite_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | regular_starter
