query_player,relevant_player,rank,top_1_player,top_5_players,query_text
Max Aarons,Max Aarons,1,Max Aarons,Max Aarons | Max Aarons | Max Floriani | Charles Rigon Matos | Miguel Nóbrega,"Max Aarons is a ENG football player who plays for Bournemouth as a defender (DF). Age: 24 Born: 2000. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 1, progressive_passes 8, progressive_receptions 3. Usage: matches_played 3, starts 1, minutes_played 86, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
Joshua Acheampong,Joshua Acheampong,1,Joshua Acheampong,Joshua Acheampong | Tyrique George | Ayden Heaven | James Milner | David Odogu,"Joshua Acheampong is a ENG football player who plays for Chelsea as a defender (DF). Age: 18 Born: 2006. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.0, non_penalty_expected_goals 0.2, expected_goal_involvements 0.12. Progression: progressive_carries 0, progressive_passes 8, progressive_receptions 0. Usage: matches_played 4, starts 2, minutes_played 170, full_match_equivalents 1.9. Discipline: yellow_cards 1, red_cards 0."
Tyler Adams,Tyler Adams,1,Tyler Adams,Tyler Adams | Kirian Rodríguez | Pablo Ibáñez | Ole Pohlmann | João Victor,"Tyler Adams is a USA football player who plays for Bournemouth as a midfielder (MF). Age: 25 Born: 1999. Attacking output: goals 0, assists 3, expected_goals 1.6, expected_assists 1.0, non_penalty_expected_goals 1.6, expected_goal_involvements 0.12. Progression: progressive_carries 14, progressive_passes 76, progressive_receptions 10. Usage: matches_played 28, starts 21, minutes_played 1965, full_match_equivalents 21.8. Discipline: yellow_cards 7, red_cards 0."
Tosin Adarabioyo,Tosin Adarabioyo,1,Tosin Adarabioyo,Tosin Adarabioyo | Christian Burgess | Gavi | Iván Villalba | Carlos Izquierdoz,"Tosin Adarabioyo is a ENG football player who plays for Chelsea as a defender (DF). Age: 26 Born: 1997. Attacking output: goals 1, assists 1, expected_goals 0.9, expected_assists 0.2, non_penalty_expected_goals 0.9, expected_goal_involvements 0.07. Progression: progressive_carries 5, progressive_passes 42, progressive_receptions 1. Usage: matches_played 22, starts 15, minutes_played 1409, full_match_equivalents 15.7. Discipline: yellow_cards 4, red_cards 0."
Simon Adingra,Simon Adingra,1,Simon Adingra,Simon Adingra | Osman Bukari | Aziel Jackson | Walter Mazzantti | Konan N'dri,"Simon Adingra is a CIV football player who plays for Brighton as a forward, midfielder (FW,MF). Age: 22 Born: 2002. Attacking output: goals 2, assists 2, expected_goals 2.5, expected_assists 2.5, non_penalty_expected_goals 2.5, expected_goal_involvements 0.4. Progression: progressive_carries 50, progressive_passes 18, progressive_receptions 136. Usage: matches_played 29, starts 12, minutes_played 1097, full_match_equivalents 12.2. Discipline: yellow_cards 0, red_cards 0."
Emmanuel Agbadou,Emmanuel Agbadou,1,Emmanuel Agbadou,Emmanuel Agbadou | Francisco Reis Ferreira | Emmanuel Agbadou | Gonzalo Mottes | Logan Ndenbe,"Emmanuel Agbadou is a CIV football player who plays for Wolves as a defender (DF). Age: 27 Born: 1997. Attacking output: goals 1, assists 0, expected_goals 0.8, expected_assists 0.2, non_penalty_expected_goals 0.8, expected_goal_involvements 0.07. Progression: progressive_carries 6, progressive_passes 31, progressive_receptions 2. Usage: matches_played 16, starts 16, minutes_played 1410, full_match_equivalents 15.7. Discipline: yellow_cards 3, red_cards 0."
Asher Agbinone,Asher Agbinone,1,Asher Agbinone,Asher Agbinone | Caleb Kporha | Nathaniel Clyne | Joel Ward | Dean Henderson,"Asher Agbinone is a ENG football player who plays for Crystal Palace as a midfielder (MF). Age: 18 Born: 2005. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.79. Progression: progressive_carries 2, progressive_passes 0, progressive_receptions 1. Usage: matches_played 2, starts 0, minutes_played 6, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Ola Aina,Ola Aina,1,Ola Aina,Ola Aina | Murillo | Neco Williams | Ryan Yates | Duplexe Tchamba,"Ola Aina is a NGA football player who plays for Nott'ham Forest as a defender (DF). Age: 27 Born: 1996. Attacking output: goals 2, assists 1, expected_goals 0.6, expected_assists 1.4, non_penalty_expected_goals 0.6, expected_goal_involvements 0.06. Progression: progressive_carries 67, progressive_passes 107, progressive_receptions 67. Usage: matches_played 35, starts 35, minutes_played 2995, full_match_equivalents 33.3. Discipline: yellow_cards 5, red_cards 0."
Rayan Aït-Nouri,Rayan Aït-Nouri,1,Rayan Aït-Nouri,Rayan Aït-Nouri | Luka Vušković | Andrea Colpani | Illia Zabarnyi | Dani Rodríguez,"Rayan Aït-Nouri is a ALG football player who plays for Wolves as a defender (DF). Age: 23 Born: 2001. Attacking output: goals 4, assists 7, expected_goals 2.7, expected_assists 5.5, non_penalty_expected_goals 2.7, expected_goal_involvements 0.24. Progression: progressive_carries 89, progressive_passes 108, progressive_receptions 176. Usage: matches_played 37, starts 37, minutes_played 3109, full_match_equivalents 34.5. Discipline: yellow_cards 7, red_cards 1."
Kristoffer Ajer,Kristoffer Ajer,1,Kristoffer Ajer,Kristoffer Ajer | Alexander Bah | Tomas Totland | Niklas Dorsch | Abdoulaye Sissako,"Kristoffer Ajer is a NOR football player who plays for Brentford as a defender (DF). Age: 26 Born: 1998. Attacking output: goals 0, assists 0, expected_goals 1.0, expected_assists 1.2, non_penalty_expected_goals 1.0, expected_goal_involvements 0.14. Progression: progressive_carries 27, progressive_passes 56, progressive_receptions 44. Usage: matches_played 24, starts 17, minutes_played 1438, full_match_equivalents 16.0. Discipline: yellow_cards 5, red_cards 0."
